# Record_dt	File	Modify-time	How-long(hours)	Dependency

# Type: sz_vars_conv.sent:
2016-07-11T23:57	../RESULT/10/2016-07-07/ssp/3/toolbar_trait.sent-v	2016-07-08 12:13	36 hours (1 days)	-
2016-07-12T22:56	../RESULT/10/2016-07-08/ssp/3/toolbar_trait.sent-v	2016-07-09 09:46	33 hours (1 days)	-
2016-07-13T23:55	../RESULT/10/2016-07-09/ssp/3/toolbar_trait.sent-v	2016-07-10 07:40	31 hours (1 days)	-
2016-07-14T23:57	../RESULT/10/2016-07-10/ssp/3/toolbar_trait.sent-v	2016-07-11 06:39	30 hours (1 days)	-
2016-07-16T00:00	../RESULT/10/2016-07-11/ssp/3/toolbar_trait.sent-v	2016-07-12 06:03	30 hours (1 days)	-
2016-07-16T23:57	../RESULT/10/2016-07-12/ssp/3/toolbar_trait.sent-v	2016-07-13 05:23	29 hours (1 days)	-
2016-07-17T23:56	../RESULT/10/2016-07-13/ssp/3/toolbar_trait.sent-v	2016-07-14 05:52	29 hours (1 days)	-
2016-07-18T23:55	../RESULT/10/2016-07-14/ssp/3/toolbar_trait.sent-v	2016-07-15 15:30	39 hours (1 days)	-
2016-07-19T23:57	../RESULT/10/2016-07-15/ssp/3/toolbar_trait.sent-v	2016-07-16 07:24	31 hours (1 days)	-
2016-07-20T23:55	../RESULT/10/2016-07-16/ssp/3/toolbar_trait.sent-v	2016-07-17 06:55	30 hours (1 days)	-
